Fecha,Carpetas
Ene_2016,1315
Feb_2016,1533
Mar_2016,1541
Abr_2016,1739
May_2016,1844
Jun_2016,1780
Jul_2016,1434
Ago_2016,1601
Sep_2016,1521
Oct_2016,1532
Nov_2016,1334
Dic_2016,1384
Ene_2017,1387
Feb_2017,1346
Mar_2017,1584
Abr_2017,1511
May_2017,1659
Jun_2017,1712
Jul_2017,1490
Ago_2017,1697
Sep_2017,1561
Oct_2017,1611
Nov_2017,1447
Dic_2017,1430
Ene_2018,1449
Feb_2018,1532
Mar_2018,1769
Abr_2018,1877
May_2018,1892
Jun_2018,1655
Jul_2018,1745
Ago_2018,1582
Sep_2018,1673
Oct_2018,1676
Nov_2018,1570
Dic_2018,1513
Ene_2019,1609
Feb_2019,1754
Mar_2019,2205
Abr_2019,2171
May_2019,2477
Jun_2019,2156
Jul_2019,2206
Ago_2019,2402
Sep_2019,2315
Oct_2019,2193
Nov_2019,2114
Dic_2019,2174
Ene_2020,2064
Feb_2020,2482
Mar_2020,2792
Abr_2020,1786
May_2020,1550
